Country,Visited,Link,Years,Prison Population Totals,Prison Population Rates
Algeria,True,https://www.prisonstudies.org/country/algeria,,,
Angola,True,https://www.prisonstudies.org/country/angola,,,
Benin,True,https://www.prisonstudies.org/country/benin,,,
Botswana,True,https://www.prisonstudies.org/country/botswana,,,
Burkina Faso,True,https://www.prisonstudies.org/country/burkina-faso,,,
Burundi,True,https://www.prisonstudies.org/country/burundi,,,
Cameroon,True,https://www.prisonstudies.org/country/cameroon,,,
Cape Verde  (Cabo Verde),True,https://www.prisonstudies.org/country/cape-verde-cabo-verde,,,
Central African Republic,True,https://www.prisonstudies.org/country/central-african-republic,,,
Chad,True,https://www.prisonstudies.org/country/chad,,,
Comoros,True,https://www.prisonstudies.org/country/comoros,,,
Congo (Republic of),True,https://www.prisonstudies.org/country/congo-republic,,,
Cote d'Ivoire,True,https://www.prisonstudies.org/country/cote-divoire,,,
Democratic Republic of Congo ,True,https://www.prisonstudies.org/country/democratic-republic-congo,,,
Djibouti,True,https://www.prisonstudies.org/country/djibouti,,,
Egypt,True,https://www.prisonstudies.org/country/egypt,,,
