,_id,Country,CountryCode,ObservationType,IndicatorCode,IndicatorNameShort,RANK,SCORE,YEAR,RAW
0,{'$oid': '642b15e88c5067f4a899fcdc'},Argentina,ARG,IndexAggregate,MS,Market Structure Pillar,37,0.503,2018,
1,{'$oid': '642b15e88c5067f4a899fcdd'},Argentina,ARG,IndexAggregate,MS_FIN,MS: Financial Sector Category,49,0.339,2018,
2,{'$oid': '642b15e88c5067f4a899fcde'},Argentina,ARG,IndexAggregate,MS_NEQ,MS: Inequality Category,35,0.386,2018,
3,{'$oid': '642b15e88c5067f4a899fcdf'},Argentina,ARG,IndexAggregate,MS_TAX,MS: Tax Category,16,0.632,2018,
4,{'$oid': '642b15e88c5067f4a899fce0'},Argentina,ARG,IndexAggregate,MS_WEN,MS: Worker Engagement Category,18,0.692,2018,
5,{'$oid': '642b15e88c5067f4a899fce1'},Argentina,ARG,IndexAggregate,MS_WWB,MS: Worker Wellbeing Category,37,0.466,2018,
6,{'$oid': '642b15e88c5067f4a899fce2'},Argentina,ARG,IndexAggregate,PG,Public Goods Pillar,36,0.68,2018,
7,{'$oid': '642b15e88c5067f4a899fce3'},Argentina,ARG,IndexAggregate,PG_EDU,PG: Education Category,15,0.896,2018,
8,{'$oid': '642b15e88c5067f4a899fce4'},Argentina,ARG,IndexAggregate,PG_GLB,PG: Global Role Category,34,0.585,2018,
9,{'$oid': '642b15e88c5067f4a899fce5'},Argentina,ARG,IndexAggregate,PG_HLC,PG: Healthcare Category,42,0.604,2018,
10,{'$oid': '642b15e88c5067f4a899fce6'},Argentina,ARG,IndexAggregate,PG_INF,PG: Infrastructure Category,41,0.684,2018,
11,{'$oid': '642b15e88c5067f4a899fce7'},Argentina,ARG,IndexAggregate,PG_RTS,PG: Rights Category,,0.752,2018,
12,{'$oid': '642b15e88c5067f4a899fce8'},Argentina,ARG,IndexAggregate,PG_RTS,PG: Rights Catgory,35,,2018,
13,{'$oid': '642b15e88c5067f4a899fce9'},Argentina,ARG,IndexAggregate,PG_SAF,PG: Public Safety Category,44,0.561,2018,
14,{'$oid': '642b15e88c5067f4a899fcea'},Argentina,ARG,IndexAggregate,SSPI,SSPI,,14.14,2018,
15,{'$oid': '642b15e88c5067f4a899fceb'},Argentina,ARG,IndexAggregate,SSPI,SSPI Overall,15,,2018,
16,{'$oid': '642b15e88c5067f4a899fcec'},Argentina,ARG,IndexAggregate,SUS,Sustainability Pillar,32,0.519,2018,
17,{'$oid': '642b15e88c5067f4a899fced'},Argentina,ARG,IndexAggregate,SUS_ECO,Sus: Ecosystem Category,32,0.558,2018,
18,{'$oid': '642b15e88c5067f4a899fcee'},Argentina,ARG,IndexAggregate,SUS_GHG,Sus: Greenhouse Gases Category,37,0.601,2018,
19,{'$oid': '642b15e88c5067f4a899fcef'},Argentina,ARG,IndexAggregate,SUS_LND,Sus: Land Category,36,0.444,2018,
20,{'$oid': '642b15e88c5067f4a899fcf0'},Argentina,ARG,IndexAggregate,SUS_NRG,Sus: Energy Category,27,0.539,2018,
21,{'$oid': '642b15e88c5067f4a899fcf1'},Argentina,ARG,IndexAggregate,SUS_WST,Sus: Waste Category,17,0.453,2018,
22,{'$oid': '642b15e88c5067f4a899fcf2'},Argentina,ARG,IndicatorObservation,AIRPOL,Air Pollution,27,0.704,2016,11.83
23,{'$oid': '642b15e88c5067f4a899fcf3'},Argentina,ARG,IndicatorObservation,ALTNRG,Alternative Energy Generation,35,0.132,2018,7.93
24,{'$oid': '642b15e88c5067f4a899fcf4'},Argentina,ARG,IndicatorObservation,AQELEC,Availability and Quality of Electricity,49,0.715,2018,0.7148
25,{'$oid': '642b15e88c5067f4a899fcf5'},Argentina,ARG,IndicatorObservation,ARMEXP,Arms Exports,34,1,2018,0
26,{'$oid': '642b15e88c5067f4a899fcf6'},Argentina,ARG,IndicatorObservation,ATBRTH,Births Attended by Skilled Personnel,47,0.695,2017,93.9
27,{'$oid': '642b15e88c5067f4a899fcf7'},Argentina,ARG,IndicatorObservation,BEEFMK,Beef Market,49,0.212,2018,0.212
28,{'$oid': '642b15e88c5067f4a899fcf8'},Argentina,ARG,IndicatorObservation,BIODIV,Biodiversity Protection,33,0.397,2018,39.682
29,{'$oid': '642b15e88c5067f4a899fcf9'},Argentina,ARG,IndicatorObservation,CARBON,Carbon Capture,36,0.187,2018,5.287
30,{'$oid': '642b15e88c5067f4a899fcfa'},Argentina,ARG,IndicatorObservation,CHILDW,Child Worker Engagement,34,0.38,2018,0.38
31,{'$oid': '642b15e88c5067f4a899fcfb'},Argentina,ARG,IndicatorObservation,COALPW,Energy from Coal Sources,42,0.9683842671,2018,1.580786643
32,{'$oid': '642b15e88c5067f4a899fcfc'},Argentina,ARG,IndicatorObservation,COLBAR,Collective Bargaining Rights Coverage,17,0.52,2016,0.52
33,{'$oid': '642b15e88c5067f4a899fcfd'},Argentina,ARG,IndicatorObservation,CRPTAX,Corporate Tax Rate,4,0.75,2018,30
34,{'$oid': '642b15e88c5067f4a899fcfe'},Argentina,ARG,IndicatorObservation,CSTUNT,Child Stunting,14,0.869,2018,6.53
35,{'$oid': '642b15e88c5067f4a899fcff'},Argentina,ARG,IndicatorObservation,CYBSEC,Global Cybersecurity Index,49,0.41,2018,0.41
36,{'$oid': '642b15e88c5067f4a899fd00'},Argentina,ARG,IndicatorObservation,DEFRST,Deforestation,46,0.036,2018,-0.178
37,{'$oid': '642b15e88c5067f4a899fd01'},Argentina,ARG,IndicatorObservation,DPTCOV,Infant DTP Vaccine Coverage,46,0.44,2017,86
38,{'$oid': '642b15e88c5067f4a899fd02'},Argentina,ARG,IndicatorObservation,DRKWAT,Safe Drinking Water,38,0.948,2015,94.84
39,{'$oid': '642b15e88c5067f4a899fd03'},Argentina,ARG,IndicatorObservation,EDEMOC,Electoral Democracy Index,33,0.779,2018,0.779
40,{'$oid': '642b15e88c5067f4a899fd04'},Argentina,ARG,IndicatorObservation,ENRPRI,Primary School Net Enrollment,9,0.95,2016,98.99
41,{'$oid': '642b15e88c5067f4a899fd05'},Argentina,ARG,IndicatorObservation,ENRSEC,Lower Secondary School Net Enrollment,23,0.955,2016,98.65
42,{'$oid': '642b15e88c5067f4a899fd06'},Argentina,ARG,IndicatorObservation,EWASTE,E-Waste Generation,40,0.83,2018,6.786638238
43,{'$oid': '642b15e88c5067f4a899fd07'},Argentina,ARG,IndicatorObservation,FAMPLN,Unment Need for Family Planning,27,0.455,2018,10.9
44,{'$oid': '642b15e88c5067f4a899fd08'},Argentina,ARG,IndicatorObservation,FATINJ,Fatal Workplace Injuries,18,0.852,2018,3.7
45,{'$oid': '642b15e88c5067f4a899fd09'},Argentina,ARG,IndicatorObservation,FDEPTH,Financial Depth,49,0.089,2018,0.089
46,{'$oid': '642b15e88c5067f4a899fd0a'},Argentina,ARG,IndicatorObservation,FORAID,Foreign Aid,32,0.136,2018,0.136
47,{'$oid': '642b15e88c5067f4a899fd0b'},Argentina,ARG,IndicatorObservation,FSTABL,Financial Stability,7,0.44,2018,5.6
48,{'$oid': '642b15e88c5067f4a899fd0c'},Argentina,ARG,IndicatorObservation,GENDEQ,Gender Equality Index,34,0.768,2018,3.0734
49,{'$oid': '642b15e88c5067f4a899fd0d'},Argentina,ARG,IndicatorObservation,GINIPT,GINI Coefficient After Taxes,8,0.572,2018,41.4
50,{'$oid': '642b15e88c5067f4a899fd0e'},Argentina,ARG,IndicatorObservation,GTRANS,Green Transport Index,14,0.624,2016,0.624
51,{'$oid': '642b15e88c5067f4a899fd0f'},Argentina,ARG,IndicatorObservation,INCARC,Incarceration Rates,10,0.62,2018,230
52,{'$oid': '642b15e88c5067f4a899fd10'},Argentina,ARG,IndicatorObservation,INCONV,Adoption of Key UN Conventions,1,1,2019,10
53,{'$oid': '642b15e88c5067f4a899fd11'},Argentina,ARG,IndicatorObservation,INTRNT,Internet Access and Quality,42,0.276,2016/2020,0.2759
54,{'$oid': '642b15e88c5067f4a899fd12'},Argentina,ARG,IndicatorObservation,ISHRAT,Income Share Ratio,30,0.2,2018,0.41
