Country,,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,,,,,,,,,,,,,,,,,,,,,,243.7,227.7,223.2,216.1,223.9,429.2,478.4,666.7,581.8,630.2,623.4,709.0,630.2,727.6,731.3,686.8,643.4,633.1,645.4,638.7,624.3,666.9,682.7,1142.4,1228.4,1494.4,1447.9,1648.6,1982.9,2097.1,2213.2,2568.2,2810.9,2872.4,2810.5,3196.8,3346.7,3430.5,4024.9,4689.6,5093.4,5390.3,7714.5,8117.9,8768.7,10098.6,10565.0,10596.6,10035.5,9624.5,10383.2,10141.1,9455.1,9145.8,16052.1
Libya,,,,,,,,,,,,,,,,,62.0,75.5,135.2,171.2,204.7,279.5,500.1,516.1,398.5,495.3,658.1,402.1,432.2,597.8,703.2,875.1,1003.5,468.3,540.5,,,,,,,,,,,,,,,526.5,593.8,458.5,490.8,480.1,617.1,768.0,1002.9,987.9,869.3,818.1,1236.4,,,,2682.7,3498.0,3236.5,,,,,,,,,
Morocco,,,,,,,,,111.7,162.9,216.8,252.7,252.1,287.5,305.2,401.6,360.8,314.7,341.9,356.7,458.8,416.6,430.5,516.2,571.0,648.9,764.7,1122.9,1576.2,1807.5,1609.9,1613.6,1857.1,1892.8,1961.3,1427.4,1283.0,1838.1,1609.2,1610.1,1737.6,1879.0,1845.2,1937.8,1922.4,2028.2,2082.2,1917.7,1912.6,2003.1,2027.0,1433.4,1578.4,2351.4,2237.2,2369.7,2303.2,2390.2,2413.0,2485.0,2771.8,2960.5,3168.3,3191.4,3421.0,3908.3,3875.2,3577.9,3599.7,3705.6,3731.5,3809.7,4883.2,5026.0,4995.0,4868.7
Tunisia,,,,,,,,,,,,,,70.0,53.4,53.6,64.6,50.7,53.2,57.0,63.9,61.0,77.9,80.9,91.4,89.8,91.0,129.3,149.3,197.5,219.6,210.5,224.3,296.1,447.4,550.6,376.4,326.3,280.1,253.9,293.8,303.2,278.8,285.1,286.6,298.2,308.7,313.6,360.6,356.2,363.3,359.6,375.8,390.5,386.7,402.3,409.6,440.7,464.8,428.9,466.3,480.9,498.9,595.2,601.2,661.9,790.8,943.4,1004.5,932.6,936.3,1151.4,1205.7,1210.4,1156.2,1113.5
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.9,413.1,359.6,215.2,188.2,3014.0,13094.7,1412.7,1058.2,1696.1,523.1,6685.7,3096.9,1866.2,1912.9,2526.1,2404.5,3406.7,4001.6,3509.7,4751.2,4622.8,4946.7,4631.7,4861.0,6639.4,7085.0,4170.6,3332.0,2882.8,2376.8,2171.8,1901.1,1619.9,1622.8,1639.7
Benin,,,,,,,,,,,,,,,,,,,,,,,15.8,15.8,17.3,18.8,17.7,16.9,14.7,19.5,13.9,24.7,29.7,27.6,30.9,40.9,50.9,48.2,49.1,58.5,58.2,48.2,46.8,,,,,,,,,29.0,26.2,23.5,43.1,47.1,51.3,52.0,52.0,,56.4,,,,68.7,72.8,79.2,92.4,81.7,115.6,84.8,68.0,68.3,87.8,110.0,130.5
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,37.3,56.0,61.4,55.6,46.5,46.6,54.2,59.1,86.7,151.8,193.7,209.8,264.3,283.3,262.9,275.5,253.5,230.5,212.8,245.5,300.5,285.8,316.3,386.9,412.4,397.8,367.9,333.4,328.3,362.0,387.5,373.4,350.1,338.5,315.6,308.0,356.3,432.2,606.6,566.9,515.4,546.1,552.5,537.2,485.1,521.6
Burkina Faso,,,,,,,,,,,,,6.1,6.7,19.5,19.9,19.8,13.1,14.3,14.1,14.5,14.9,16.2,16.4,17.6,17.7,18.2,39.3,51.7,47.9,57.5,46.6,45.6,52.2,54.6,52.3,52.6,50.8,75.9,67.1,71.9,90.5,98.1,81.9,80.2,72.6,56.9,57.9,56.4,65.3,64.3,71.7,73.1,72.0,77.2,75.4,89.1,94.0,89.5,122.1,111.9,125.1,128.5,133.7,148.3,160.5,171.7,170.3,171.7,213.3,318.2,405.9,418.0,465.8,562.6,793.4
Burundi,,,,,,,,,,,,,,,,,,15.7,16.5,17.4,17.9,22.1,,16.8,22.2,31.5,34.7,33.3,39.9,54.6,53.8,46.2,62.4,60.1,69.4,62.1,61.0,63.7,63.7,57.2,69.2,77.5,81.7,83.7,86.0,85.1,89.1,74.2,85.9,92.7,99.5,104.2,89.7,118.9,114.0,115.8,112.5,107.8,90.1,90.5,75.5,,,,81.0,83.5,81.3,83.3,83.3,71.8,78.3,105.7,81.5,78.6,101.4,152.4
Cameroon,,,,,,,,,,,,,,,,,,,,,,,151.1,153.0,150.0,152.7,154.0,163.1,171.4,174.9,185.0,202.3,207.3,290.0,338.9,332.6,335.4,290.2,259.8,223.5,206.2,213.6,221.8,226.6,219.3,221.8,180.9,179.2,182.0,201.1,227.8,246.1,239.0,238.1,257.9,276.6,294.3,290.6,315.6,331.0,343.0,347.6,371.3,337.3,362.3,380.7,382.4,392.6,427.3,441.0,436.9,441.6,394.3,418.9,416.6,414.2
