Country,2014,Globa Rank,2017,Global Rank,2018,Global Rank,2020,Global Rank,2024,Global Rank,
United States of America,0.824,1,0.919,2,0.926,2,100,1,99.86,2,
Australia,0.765,3,0.824,7,0.89,10,97.47,12,96.24,28,
Malaysia,0.765,3,0.893,3,0.893,8,98.06,5,98.82,10,
Oman,0.765,3,0.871,4,0.868,16,96.04,21,97.01,21,
New Zealand,0.735,4,0.718,19,0.789,36,84.04,48,82.63,63,
Norway,0.735,4,0.786,11,0.892,9,96.89,17,97.01,21,
Brazil,0.706,5,0.593,38,0.577,70,96.6,18,96.38,27,
Estonia,0.706,5,0.846,5,0.905,5,99.48,3,95.04,29,
Germany,0.706,5,0.679,24,0.849,22,97.41,13,93.84,33,
India,0.706,5,0.683,23,0.719,47,97.5,10,98.49,14,
Japan,0.706,5,0.786,11,0.88,14,97.82,7,97.58,18,
Republic of Korea,0.706,5,0.782,13,0.873,15,98.52,4,100,1,
United Kingdom,0.706,5,0.783,12,0.931,1,99.54,2,100,1,
Austria,0.676,6,0.639,30,0.826,28,93.89,29,89.16,50,
Hungary,0.676,6,0.534,51,0.812,31,91.28,35,88.73,52,
Israel,0.676,6,0.691,20,0.783,39,90.93,36,93.6,35,
Netherlands,0.676,6,0.76,15,0.885,12,97.05,16,99.22,7,
Singapore,0.676,6,0.925,1,0.898,6,98.52,4,99.86,2,
Latvia,0.647,7,0.688,21,0.748,44,97.28,15,82.63,63,
Sweden,0.647,7,0.733,17,0.81,32,94.55,26,99.31,4,
Turkey,0.647,7,0.581,43,0.853,20,97.49,11,100,1,
Hong Kong,0.618,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Finland,0.618,8,0.741,16,0.856,19,95.78,22,100,1,
Qatar,0.618,8,0.676,25,0.86,17,94.5,27,100,1,
Slovakia,0.618,8,0.362,81,0.729,45,92.36,34,94.44,31,
Uruguay,0.618,8,0.647,29,0.681,51,75.15,64,94.69,30,
Colombia,0.588,9,0.569,46,0.565,73,63.72,81,65.87,90,
Denmark,0.588,9,0.617,34,0.852,21,92.6,32,100,1,
Egypt,0.588,9,0.772,14,0.842,23,95.48,23,100,1,
France,0.588,9,0.819,8,0.918,3,97.6,9,98.98,9,
Mauritius,0.588,9,0.83,6,0.88,14,96.89,17,100,1,
Spain,0.588,9,0.718,19,0.896,7,98.52,4,99.74,3,
Italy,0.559,10,0.626,31,0.837,25,96.13,20,100,1,
Morocco,0.559,10,0.541,49,0.429,93,82.41,50,97.5,19,
Uganda,0.559,10,0.536,50,0.621,65,69.98,72,82.94,62,
Azerbaijan,0.529,11,0.559,48,0.653,55,89.31,40,93.76,34,
Poland,0.529,11,0.622,33,0.815,29,93.86,30,93.54,36,
Rwanda,0.529,11,0.602,36,0.697,49,79.95,57,98.08,15,
Tunisia,0.529,11,0.591,40,0.536,76,86.23,45,82,65,
Czech Republic,0.5,12,0.609,35,0.569,71,74.37,68,87.94,53,
Georgia,0.5,12,0.819,8,0.857,18,81.06,55,91.92,43,
Russia,0.5,12,0.788,10,0.836,26,98.06,5,92.13,42,
Indonesia,0.471,13,0.424,69,0.776,41,94.88,24,100,1,
Luxembourg,0.471,13,0.602,36,0.886,11,97.41,13,98.72,11,
Romania,0.471,13,0.585,42,0.568,72,76.5,62,91.62,45,
Belgium,0.441,14,0.671,27,0.814,30,96.25,19,96.81,24,
Bulgaria,0.441,14,0.579,44,0.721,46,67.38,77,74.56,77,
China,0.441,14,0.624,32,0.828,27,92.53,33,91.64,44,
Lithuania,0.441,14,0.504,56,0.908,4,97.93,6,92.88,40,
Nigeria,0.441,14,0.569,46,0.65,57,84.76,47,82.4,64,
Sudan,0.441,14,0.271,95,0.294,103,35.03,102,48.17,116,
Argentina,0.412,15,0.482,62,0.407,94,50.12,91,51.51,112,
Cameroon,0.412,15,0.413,74,0.432,91,45.63,93,65.53,92,
Croatia,0.412,15,0.59,41,0.84,24,92.53,33,87.75,54,
Kenya,0.412,15,0.574,45,0.748,44,81.7,51,98.59,13,
Mongolia,0.412,15,0.228,103,0.465,85,26.2,120,56.36,104,
Sri Lanka,0.412,15,0.419,71,0.466,84,58.65,83,87.02,56,
Thailand,0.412,15,0.684,22,0.796,35,86.5,44,99.22,7,
Brunei Darussalam,0.382,16,0.524,53,0.624,64,56.07,85,70.38,80,
Chile,0.382,16,0.367,80,0.47,83,68.83,74,70.23,82,
Moldova,0.382,16,0.418,72,0.662,53,75.78,63,65.09,94,
Montenegro,0.382,16,0.422,70,0.639,61,53.23,87,74.83,75,
Myanmar,0.382,16,0.263,99,0.172,128,36.41,99,73.72,78,
South Africa,0.382,16,0.502,57,0.652,56,78.46,59,86.25,58,
Costa Rica,0.353,17,0.336,85,0.221,115,67.45,76,75.07,74,
Ecuador,0.353,17,0.466,65,0.367,98,26.3,119,87.18,55,
Malta,0.353,17,0.399,75,0.479,82,83.65,49,92.96,39,
