CountryCode,Year,Value,Unit
ARE,2000,137.0765991211,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2001,131.9449615479,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2002,120.3682174683,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2003,144.8379364014,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2004,148.594543457,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2005,149.7908935547,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2006,137.4443206787,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2007,140.8433532715,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2008,141.2925415039,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2009,102.3801498413,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2010,93.2947616577,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2011,93.9769744873,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2012,94.2313079834,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2013,93.4096069336,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2014,92.9733581543,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2015,93.5361862183,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2016,88.717124939,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2017,79.1560821533,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2018,80.4918365479,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARE,2019,80.2279968262,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2000,22.0979137421,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2001,21.6545753479,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2002,16.2248954773,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2003,17.8154525757,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2004,18.3833427429,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2005,18.5048351288,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2006,20.7683315277,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2007,21.1201591492,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2008,21.4568214417,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2009,20.6787166595,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
ARG,2010,19.3223457336,tCO2 equivalent/cap; percentile p90p100; lpfghgi999
